1,90.23316232,93.05080423,101.2653758,114.5505215,130.9328729,149.0008225,165.8950463
1.02244898,85.41296719,88.08696875,96.20018507,108.839822,124.5247904,141.818351,158.1416277
1.044897959,79.85624552,82.57822216,90.4412411,102.6212428,118.0742469,134.4013551,150.0814351
1.067346939,74.66340978,77.27349633,84.80372803,96.24174555,111.1722903,127.2235888,142.8789236
1.089795918,69.41973246,71.94090231,79.23739946,90.60122156,105.1232953,120.8451586,136.5093924
1.112244898,63.98851332,66.49042977,73.5913397,85.05736394,98.78857162,114.2584251,129.884182
1.134693878,58.70213057,61.07130913,67.59374041,79.06475018,92.83229842,108.3155392,124.4339626
1.157142857,52.63669428,54.97813487,61.93480068,72.5992429,86.13962078,101.780267,118.3620878
1.179591837,47.11627404,49.56890443,56.32501082,66.86464377,80.24024423,95.9755803,113.4927099
1.202040816,41.76230538,43.88709011,50.50428403,61.01170882,74.48821323,90.4803521,108.6706818
1.224489796,36.27584642,38.63301964,45.14914192,55.5277749,69.14874775,85.70260424,104.8246793
1.246938776,31.80361026,34.02813574,39.92830807,50.92538725,64.20735431,80.94280721,100.8982351
1.269387755,25.79130234,28.09337371,34.60680929,45.12725501,59.13363853,76.23196881,96.95775774
1.291836735,20.51933578,22.6918067,29.48263806,40.11367409,54.26592189,72.05149529,93.52347574
1.314285714,15.93946216,18.18639832,24.77645256,35.56899175,50.13501368,68.4332337,90.63427431
1.336734694,10.90980098,13.0882069,19.83532838,30.62415466,45.38966651,64.35836717,87.45186545
1.359183673,6.092769242,8.237287813,14.99423928,26.08561385,41.42334246,60.5096444,84.34268217
1.381632653,1.450662648,3.827616676,10.65386849,21.92346682,37.50082695,57.51832351,81.83571678
1.404081633,-2.873061102,-0.65407919,6.760823917,18.19657429,33.63843652,54.08691885,79.48550834
1.426530612,-7.463020595,-5.087682904,1.992742355,13.62845498,29.76565479,50.79285259,76.55753353
1.448979592,-11.14925826,-8.814482309,-1.60314583,10.31722101,26.79772592,48.27233933,74.60582922
1.471428571,-15.63794562,-13.21765939,-7.039755826,5.150354119,22.21678723,44.33012354,71.43536634
1.493877551,-20.84062457,-18.40089569,-11.13059364,1.273413941,18.63708534,41.20353331,69.3694622
1.516326531,-24.97666614,-22.48555873,-14.93104125,-2.366019573,14.89906456,38.02179463,66.63157096
1.53877551,-29.2870644,-26.96782331,-19.03288052,-6.812828453,11.18762499,34.63214165,63.92853689
1.56122449,-34.52502846,-31.91000352,-24.10574988,-11.20306583,7.091840943,31.30562259,61.28477402
1.583673469,-39.74418923,-37.16288432,-29.49688672,-16.12546535,2.671109083,27.4441613,58.50382928
1.606122449,-45.02372948,-42.40531073,-34.17992844,-21.0056588,-1.857960733,23.35981351,54.5346859
1.628571429,-50.93616645,-48.22941114,-40.07231746,-26.4670502,-6.864569617,18.8521441,51.07760369
1.651020408,-57.50472475,-54.83400698,-46.55115453,-32.63329942,-12.74826154,13.44677504,46.82340331
1.673469388,-64.44870883,-61.64295347,-53.37333911,-39.7006449,-19.15746357,8.061904374,41.48192493
1.695918367,-72.76647058,-70.00360679,-61.28502608,-47.16816917,-26.39358194,0.877462453,36.01411614
1.718367347,-81.80380963,-79.06841572,-70.17376444,-55.63250645,-35.01646323,-7.056956287,28.21829635
1.740816327,-91.79149143,-88.98877106,-80.22443465,-65.77495306,-45.20378285,-16.79856193,19.40618747
1.763265306,-105.5795772,-102.8226566,-94.67464649,-80.4782591,-60.37716084,-29.18892464,6.946659671
1.785714286,-117.6622392,-114.993425,-105.6697698,-91.6319455,-71.40658514,-44.33894394,-8.574176731
1.808163265,-132.7669992,-130.2079553,-122.6127274,-109.3962734,-88.77705762,-62.67206662,-29.78238397
1.830612245,-148.5890754,-145.7989014,-138.712248,-126.3941297,-109.1021981,-85.78835702,-56.73594471
1.853061224,-166.4622693,-164.5398714,-158.2829488,-146.9055734,-131.4192634,-111.7220012,-93.98627146
1.875510204,173.3071027,174.9649008,-178.9964335,-169.1762275,-155.7307209,-140.2246093,-123.432586
1.897959184,156.0825051,157.9149471,163.5779101,169.1010749,-179.7138622,-164.3442573,-154.1291593
1.920408163,138.4304542,139.7626952,145.4579907,153.7045332,162.9362218,165.6248688,178.2191083
1.942857143,119.9419154,121.5983145,128.7390572,136.4493896,143.6945177,152.8597989,159.7786083
1.965306122,106.4645972,108.1438556,112.6837016,120.5198845,131.271747,139.5203968,147.2049922
1.987755102,92.60552445,94.23056669,99.04156768,106.527428,115.8800041,126.2189228,138.0307745
2.010204082,82.98871431,84.78909197,89.35587246,97.15176776,107.0776459,118.3011249,130.8130694
2.032653061,75.81071318,77.49150201,82.60893341,90.27794211,99.11856239,111.3267959,125.3339544
2.055102041,67.1228713,68.85615297,73.75010572,81.83764217,92.54963254,105.5232946,120.3149593
2.07755102,60.03731017,62.0747321,67.29383292,75.51594286,86.75917746,100.4625293,116.4570308
2.1,54.89171576,56.72347986,62.07558071,70.7549967,82.01688753,96.1874784,113.0189991
